Date,Vavuniya,Anuradhapura,Maha Illuppallama,Year,Month,Day,Vavuniya_lag1,Vavuniya_lag2,Vavuniya_lag3,Anuradhapura_lag1,Anuradhapura_lag2,Anuradhapura_lag3,Maha Illuppallama_lag1,Maha Illuppallama_lag2,Maha Illuppallama_lag3,Vavuniya_rolling_mean3,Vavuniya_rolling_mean7,Anuradhapura_rolling_mean3,Anuradhapura_rolling_mean7,Maha Illuppallama_rolling_mean3,Maha Illuppallama_rolling_mean7
2021-02-04,0.0,0.0,0.0,2021,2,4,0.0,1.7,10.2,0.0,1.5,11.3,0.0,8.5,13.5,0.5666666666666619,3.542857142857143,0.5,3.914285714285715,2.8333333333333326,6.471428571428571
2021-02-05,0.0,0.0,0.0,2021,2,5,0.0,0.0,1.7,0.0,0.0,1.5,0.0,0.0,8.5,0.0,2.214285714285714,0.0,3.7000000000000006,0.0,6.171428571428571
2021-02-06,0.0,0.0,0.8,2021,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8428571428571427,0.0,3.7000000000000006,0.2666666666666661,5.528571428571429
2021-02-07,0.0,5.6,0.4,2021,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.6999999999999997,1.8666666666666665,2.6285714285714294,0.39999999999999947,3.314285714285714
2021-02-08,0.0,0.0,0.0,2021,2,8,0.0,0.0,0.0,5.6,0.0,0.0,0.4,0.8,0.0,0.0,0.24285714285714285,1.8666666666666665,1.0142857142857153,0.39999999999999947,1.3857142857142855
2021-02-09,0.0,0.0,0.0,2021,2,9,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.4,0.8,0.0,0.0,1.8666666666666665,0.8000000000000009,0.13333333333333275,0.1714285714285712
2021-02-10,0.0,0.0,0.0,2021,2,10,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.4,0.0,0.0,0.0,0.8000000000000009,0.0,0.1714285714285712
2021-02-11,0.0,0.0,0.0,2021,2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8000000000000009,0.0,0.1714285714285712
2021-02-12,0.0,0.0,0.0,2021,2,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8000000000000009,0.0,0.1714285714285712
2021-02-13,0.0,0.0,0.0,2021,2,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8000000000000009,0.0,0.05714285714285689
2021-02-14,0.0,0.0,0.0,2021,2,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-15,0.0,0.0,0.0,2021,2,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-16,0.0,0.0,0.0,2021,2,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-17,0.0,0.0,0.0,2021,2,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-18,0.0,0.0,0.0,2021,2,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-19,7.2,0.0,0.0,2021,2,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3999999999999955,1.0285714285714287,0.0,0.0,0.0,0.0
2021-02-20,0.0,0.4,6.4,2021,2,20,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3999999999999955,1.0285714285714287,0.13333333333333333,0.05714285714285816,2.133333333333333,0.914285714285714
2021-02-21,0.0,0.0,0.0,2021,2,21,0.0,7.2,0.0,0.4,0.0,0.0,6.4,0.0,0.0,2.3999999999999955,1.0285714285714287,0.13333333333333333,0.05714285714285816,2.133333333333333,0.914285714285714
2021-02-22,0.0,0.0,0.0,2021,2,22,0.0,0.0,7.2,0.0,0.4,0.0,0.0,6.4,0.0,0.0,1.0285714285714287,0.13333333333333333,0.05714285714285816,2.133333333333333,0.914285714285714
2021-02-23,0.0,0.0,0.0,2021,2,23,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,6.4,0.0,1.0285714285714287,0.0,0.05714285714285816,0.0,0.914285714285714
2021-02-24,0.0,0.0,0.0,2021,2,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0285714285714287,0.0,0.05714285714285816,0.0,0.914285714285714
2021-02-25,0.0,0.0,0.0,2021,2,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0285714285714287,0.0,0.05714285714285816,0.0,0.914285714285714
2021-02-26,0.0,0.0,0.0,2021,2,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285816,0.0,0.914285714285714
2021-02-27,0.0,0.0,0.0,2021,2,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-28,0.0,0.0,0.0,2021,2,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,2021,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-02,0.0,0.0,0.0,2021,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-03,0.0,0.0,0.0,2021,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-04,0.0,0.0,0.0,2021,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
