id,station_name,code,longitude,latitude,elevation,Year,Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
43415,VAVUNIYA,5,80.5,8.75,98,2022,10,0.0,0.0,0.0,0.0,0.0,0.0,2.2,20.7,2.7,82.2,1.2,2.3,10.2,0.0,22.1,0.0,10.1,0.5,0.0,11.8,6.7,19.8,2.5,0.0,0.0,0.0,0.0,0.0,5.6,8.1,2.8,
43415,VAVUNIYA,5,80.5,8.75,98,2022,11,21.8,0.0,7.6,13.0,1.7,0.0,9.9,22.4,12.6,3.6,2.4,15.3,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
43415,VAVUNIYA,5,80.5,8.75,98,2022,12,0.5,26.4,6.9,35.4,0.0,0.0,4.4,86.7,1.7,0.5,0.0,5.9,0.0,0.0,0.0,0.0,0.0,5.0,37.1,0.0,21.9,1.0,0.7,18.1,9.1,0.0,0.0,0.0,0.0,0.0,0.0,
43415,VAVUNIYA,5,80.5,8.75,98,2023,1,0.0,0.0,0.0,0.0,13.6,2.1,33.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,5.9,0.0,0.0,0.0,0.0,0.0,3.6,2.3,0.6,
43415,VAVUNIYA,5,80.5,8.75,98,2023,2,29.3,189.2,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,3.3,,,,
43415,VAVUNIYA,5,80.5,8.75,98,2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,0.0,1.5,22.6,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
43415,VAVUNIYA,5,80.5,8.75,98,2023,4,0.0,0.0,0.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.6,0.0,0.0,0.0,3.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,11.1,,
43415,VAVUNIYA,5,80.5,8.75,98,2023,5,15.6,1.5,16.9,51.6,0.0,66.4,9.0,0.0,1.8,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,
43415,VAVUNIYA,5,80.5,8.75,98,2023,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
43415,VAVUNIYA,5,80.5,8.75,98,2023,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
